,ep,mean_score_last25_ep,epsilon,ep_time,all_time_highest
181,4550,11.08,0.018349889598349288,0.062465759738461,47
182,4575,8.8,0.017986393471115417,0.0629891548260965,47
183,4600,7.52,0.017630097901345725,0.06329097773717797,47
184,4625,8.88,0.017280860251955747,0.0636108550509891,47
185,4650,8.2,0.016938540711383655,0.06391933492434922,47
186,4675,11.0,0.016603002237618937,0.0644045965939282,47
187,4700,8.48,0.016274110503339916,0.0652094627441244,47
188,4725,6.56,0.015951733842137977,0.06550897446889727,47
189,4750,14.48,0.01563574319580709,0.06606704511140522,47
190,4775,7.72,0.015326012062677523,0.06663552134448945,47
191,4800,12.28,0.015022416446972893,0.06726177975535393,47
192,4825,9.04,0.014724834809170547,0.06771046574251639,47
193,4850,8.0,0.014433148017345191,0.06821230573752492,47
194,4875,7.88,0.014147239299476389,0.06859721677731245,47
195,4900,11.48,0.01386699419670078,0.06896831653556046,47
196,4925,10.16,0.013592300517490377,0.06930864348629405,47
197,4950,9.88,0.013323048292738513,0.06956937592438978,47
198,4975,13.6,0.01305912973173551,0.06991255458275876,47
199,5000,10.52,0.012800439179016458,0.0702637957572937,47
200,5025,15.08,0.012546873072063766,0.07080785694406994,47
201,5050,15.08,0.01229832989984761,0.07132693961115166,47
202,5075,14.56,0.012054710162187647,0.07184030814711097,47
203,5100,15.2,0.011815916329919787,0.07233871025197647,47
204,5125,13.04,0.011581852805851958,0.07274350305882896,47
205,5150,17.0,0.011352425886493347,0.07326249664269605,47
206,5175,11.68,0.011127543724541753,0.0737168606467869,47
207,5200,11.12,0.01090711629211402,0.07422862112522126,47
208,5225,7.6,0.010691055344704862,0.074775254281514,47
209,5250,4.68,0.0104792743858596,0.07560240241459437,47
210,5275,12.2,0.010271688632546749,0.07625255968898394,47
211,5300,10.52,0.01006821498121651,0.07662936512029396,47
212,5325,10.96,0.01,0.0769657200378991,47
213,5350,13.36,0.01,0.0774305940788483,47
214,5375,16.08,0.01,0.07799026888470317,47
215,5400,12.36,0.01,0.07848917206128438,47
216,5425,9.68,0.01,0.0788189800104238,47
217,5450,9.56,0.01,0.0792283126411088,47
